page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  96    75 image      46  1258  cmyk    4   8  jpeg   no       509  0   200   200 26.3K  12%
  99    76 image      46   574  cmyk    4   8  jpeg   no       532  0   203   200 12.7K  12%
 100    77 image     770   574  cmyk    4   8  jpeg   no       535  0   200   200  324K  19%
 101    78 image      46   574  cmyk    4   8  jpeg   no       540  0   203   200 8792B 8.3%
 102    79 image     770   574  cmyk    4   8  jpeg   no       544  0   200   200  281K  16%
 109    80 image     860  1256  cmyk    4   8  jpeg   no       576  0   200   200  791K  19%
 110    81 image      46  1256  cmyk    4   8  jpeg   no       583  0   200   200 43.0K  19%
 119    82 image     862  1258  cmyk    4   8  jpeg   no       638  0   200   200  631K  15%
 120    83 image      46  1258  cmyk    4   8  jpeg   no       646  0   203   200 34.7K  15%
 123    84 image      46   586  cmyk    4   8  jpeg   no       675  0   200   200 30.4K  29%
 124    85 image     771   586  cmyk    4   8  jpeg   no       678  0   200   200  450K  25%
 125    86 image     771   518  cmyk    4   8  jpeg   no       682  0   200   200  395K  25%
 126    87 image      46   518  cmyk    4   8  jpeg   no       685  0   203   200 23.0K  25%
 127    88 image     728   520  cmyk    4   8  jpeg   no       689  0   200   200  289K  20%
 129    89 image      46   573  cmyk    4   8  jpeg   no       695  0   203   200 23.0K  22%
 129    90 image     770   526  cmyk    4   8  jpeg   no       696  0   200   200  298K  19%
 130    91 image     770   573  cmyk    4   8  jpeg   no       700  0   200   200  404K  23%
 130    92 image      46   526  cmyk    4   8  jpeg   no       701  0   203   200 28.9K  31%
 133    93 image      44   601  cmyk    4   8  jpeg   no       710  0   203   200 16.0K  16%
 133    94 image     770   526  cmyk    4   8  jpeg   no       711  0   200   200  409K  26%
 134    95 image     771   601  cmyk    4   8  jpeg   no       716  0   200   200  301K  17%
 134    96 image      46   526  cmyk    4   8  jpeg   no       717  0   200   200 35.0K  37%
 141    97 image      46   574  cmyk    4   8  jpeg   no       756  0   200   200 18.0K  17%
 142    98 image     770   574  cmyk    4   8  jpeg   no       764  0   200   200  260K  15%
 143    99 image     904  1259  cmyk    4   8  jpeg   no       768  0   200   200  523K  12%
 144   100 image     342  1259  cmyk    4   8  jpeg   no       772  0   200   200  179K  11%
 145   101 image     129   106  index   1   8  image  no       778  0   301   303   38B 0.3%
 145   102 image      86    70  cmyk    4   8  jpeg   no       779  0   201   200 1901B 7.9%
 145   103 image      86    70  cmyk    4   8  jpeg   no       790  0   201   200 3133B  13%
 145   104 image      86    70  cmyk    4   8  jpeg   no       791  0   201   200 1861B 7.7%
 145   105 image      86    70  cmyk    4   8  jpeg   no       792  0   201   200 4010B  17%
 145   106 image      86    70  cmyk    4   8  jpeg   no       793  0   201   200 4709B  20%
 145   107 image      86    70  cmyk    4   8  jpeg   no       794  0   201   200 3864B  16%
 145   108 image      86    70  cmyk    4   8  jpeg   no       795  0   201   200 4205B  17%
 145   109 image      86    70  cmyk    4   8  jpeg   no       796  0   201   200 2444B  10%
 145   110 image      86    70  cmyk    4   8  jpeg   no       797  0   201   200 3228B  13%
 145   111 image      86    70  cmyk    4   8  jpeg   no       780  0   201   200 2021B 8.4%
 145   112 image      86    70  cmyk    4   8  jpeg   no       781  0   201   200 2153B 8.9%
 145   113 image     124    70  index   1   8  image  no       782  0   302   300   34B 0.4%
 145   114 image     451    33  index   1   8  image  no       783  0   300   305   40B 0.3%
 145   115 image     301    22  index   1   8  jpx    no       785  0   201   203  437B 6.6%
 145   116 image      37    22  index   1   8  image  no       787  0   200   203   19B 2.3%
 145   117 image      38    22  index   1   8  image  no       789  0   205   203   19B 2.3%
 148   118 image      93    86  cmyk    4   8  jpeg   no       814  0   201   201 2000B 6.3%
 148   119 image      93    86  cmyk    4   8  jpeg   no       815  0   201   201 5703B  18%
 148   120 image      93    86  cmyk    4   8  jpeg   no       819  0   201   201 4527B  14%
 148   121 image      93    86  cmyk    4   8  jpeg   no       820  0   201   201 3590B  11%
 148   122 image      93    86  cmyk    4   8  jpeg   no       821  0   201   201 4605B  14%
 148   123 image      93    86  cmyk    4   8  jpeg   no       822  0   201   201 6406B  20%
 148   124 image      93    86  cmyk    4   8  jpeg   no       823  0   201   201 6618B  21%
 148   125 image      93    86  cmyk    4   8  jpeg   no       824  0   201   201 3968B  12%
 148   126 image      93    86  cmyk    4   8  jpeg   no       825  0   201   201 2628B 8.2%
 148   127 image      93    86  cmyk    4   8  jpeg   no       826  0   201   201 6739B  21%
 148   128 image      93    86  cmyk    4   8  jpeg   no       816  0   201   201 6507B  20%
 148   129 image      93    86  cmyk    4   8  jpeg   no       817  0   201   201 3223B  10%
 148   130 image     185    13  index   1   8  image  no       818  0   300   310   28B 1.2%
 151   131 image     266   214  cmyk    4   8  jpeg   no       839  0   200   200 22.3K  10%
 151   132 image     194   184  cmyk    4   8  jpeg   no       840  0   201   201 31.0K  22%
 151   133 image     182    56  cmyk    4   8  jpeg   no       841  0   200   203 3268B 8.0%
 151   134 image      86    11  cmyk    4   8  jpeg   no       842  0   200   216 1481B  39%
